"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2004,814.7504795
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2004,885.9141947
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2004,2126.690635
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2004,1401.914241
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2005,3200.656613
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2005,5391.712204
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2005,3694.518361
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2005,950.1605692
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2005,797.9496974
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2005,3436.140888
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2005,2161.412358
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2005,641.381946
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2005,826.4813206
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2005,808.364847
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2005,2105.641889
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2005,1499.406165
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2006,3222.072017
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2006,5667.732872
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2006,3822.953495
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2006,1000.711442
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2006,856.9292786
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2006,3374.462861
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2006,2297.945768
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2006,632.2766121
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2006,789.8720742
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2006,787.4961344
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2006,2120.06697
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2006,1565.420638
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2007,3296.523769
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2007,5880.504246
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2007,4173.52614
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2007,1007.746224
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2007,941.1184645
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2007,3351.489362
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2007,2588.578529
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2007,670.2251819
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2007,896.7558367
