"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2002,414.3
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2002,916.2
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2002,323.3
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2002,228.6
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2002,362.0
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2002,805.0
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2002,39.8
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2002,183.5
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2002,268.8
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2002,4441.3
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2002,604.1
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2002,2692.1
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2002,1145.2
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2002,447117.6
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2002,8302.9
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,1700.0
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,1898.3
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,329.9
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,5561.8
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,7944.2
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,332.6
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,1635.5
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,6897.7
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,2386.0
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,2144.7
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,916.2
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",2002,1297.1
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",2002,4441.3
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2003,9223.2
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2003,1718.6
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2003,7429.4
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2003,75.2
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2003,15186.0
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2003,1423.6
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2003,600.8
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2003,753.2
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2003,21.5
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2003,214.2
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2003,2078.6
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2003,347.5
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2003,511.2
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2003,660.8
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2003,559.1
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2003,5935.4
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2003,3603.2
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2003,449.2
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2003,316.8
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2003,1570.4
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2003,335.1
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2003,215.4
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2003,70.0
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2003,23.4
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2003,26.3
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,8224.9
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,7090.2
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,4134.4
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,169.9
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,964.2
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2003,0.6
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2003,309.9
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2003,237.0
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2003,103.1
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2003,23.8
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2003,49.1
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,1715.0
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,1219.7
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,41.2
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,42.8
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,168.0
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2003,243.4
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,6063.1
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,3616.3
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,1380.0
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,460.7
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,1041.4
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2003,1405.4
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,1521.0
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,413.1
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,1100.8
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,206.6
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,788.1
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2003,552.7
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2003,2372.5
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2003,1513.0
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2003,357.2
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2003,502.3
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2003,1046.3
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2003,387.2
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2003,253.3
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2003,403.5
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2003,822.2
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2003,61.2
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2003,146.1
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2003,273.5
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2003,5095.6
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2003,642.9
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2003,2745.0
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2003,1707.8
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2003,468855.0
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2003,9223.2
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,1659.3
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,2078.6
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,335.1
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,5935.4
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,8224.9
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,309.9
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,1715.0
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,6063.1
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,2073.7
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,2372.5
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,1046.3
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",2003,1303.0
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",2003,5095.6
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2004,9866.3
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2004,1366.2
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2004,8499.9
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2004,0.2
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2004,14799.4
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2004,1598.3
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2004,671.3
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2004,851.5
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2004,27.0
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2004,213.9
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2004,2116.7
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2004,336.0
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2004,547.5
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2004,653.4
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2004,579.8
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2004,6222.8
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2004,3684.5
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2004,517.1
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2004,323.3
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2004,1703.0
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2004,341.8
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2004,213.9
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2004,58.8
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2004,27.8
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2004,41.3
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,8360.4
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,7181.3
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,4144.2
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,175.1
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,1003.2
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2004,0.8
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2004,334.8
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2004,279.8
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2004,131.6
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2004,24.3
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2004,30.7
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,1757.1
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,1239.0
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,41.4
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,44.0
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,184.3
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2004,248.4
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,6487.1
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,3904.7
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,1633.3
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,475.1
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,1134.8
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2004,1447.6
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,1921.1
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,628.4
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,1288.9
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,237.1
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,912.7
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2004,842.2
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2004,2386.8
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2004,1468.8
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2004,374.2
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2004,543.7
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2004,1168.2
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2004,451.3
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2004,277.9
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2004,436.8
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2004,938.2
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2004,69.9
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2004,186.1
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2004,274.3
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2004,5244.9
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2004,667.3
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2004,2777.3
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2004,1800.3
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2004,482732.9
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2004,9866.3
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,1839.2
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,2116.7
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,341.8
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,6222.8
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,8360.4
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,334.8
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,1757.1
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,6487.1
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,2763.3
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,2386.8
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,1168.2
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",2004,1468.5
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",2004,5244.9
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2005,9951.9
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2005,1818.4
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2005,8131.2
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2005,2.4
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2005,14096.6
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2005,1560.4
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2005,688.7
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2005,795.2
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2005,32.8
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2005,203.9
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2005,2196.0
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2005,350.5
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2005,583.6
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2005,659.0
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2005,602.8
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2005,6352.4
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2005,3883.3
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2005,519.2
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2005,321.3
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2005,1635.2
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2005,375.8
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2005,208.7
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2005,86.6
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2005,41.3
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2005,39.3
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,8691.4
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,7371.6
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,4089.2
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,212.0
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,1106.8
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2005,0.9
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2005,326.5
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2005,264.1
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2005,114.5
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2005,29.7
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2005,32.6
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,1744.6
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,1213.6
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,46.9
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,48.6
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,175.9
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",2005,259.6
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,6541.5
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,3875.6
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,1772.7
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,421.4
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,1121.7
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",2005,1544.2
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,1992.5
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,517.9
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,1466.2
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,248.0
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,1087.8
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",2005,885.0
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",2005,3093.9
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",2005,2134.8
"Other sweeteners and syrups","WORLD (Quantity)","1,000 mt","Sweets","Foods",2005,399.9
"Confections","WORLD (Quantity)","1,000 mt","Sweets","Foods",2005,559.1
"Total cocoa and products","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2005,1306.3
"Cocoa beans","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2005,576.2
"Cocoa paste, butter, and powder","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2005,276.4
"Chocolate","WORLD (Quantity)","1,000 mt","Cocoa","Foods",2005,452.0
"Sauces, soups, prepared foods","WORLD (Quantity)","1,000 mt","Other","Foods",2005,987.0
"Essential oils","WORLD (Quantity)","1,000 mt","Other","Foods",2005,86.0
"Animal and other fats","WORLD (Quantity)","1,000 mt","Other","Foods",2005,192.1
"Other edible products","WORLD (Quantity)","1,000 mt","Other","Foods",2005,269.3
"Total beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2005,5472.9
"Wine","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2005,742.9
"Malt beer","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2005,2978.5
"Nonalcoholic beverages","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2005,1751.5
"Liquors and liqueurs","WORLD (Quantity)","1,000 litpf","Beverages","Foods",2005,498400.6
"Live meat animals","WORLD (Quantity)","1,000","Food volume","Foods",2005,9951.9
"Meats","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,1797.1
"Fish and shellfish","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,2196.0
"Dairy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,375.8
"Vegetables","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,6352.4
"Fruits","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,8691.4
"Nuts","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,326.5
"Coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,1744.6
"Grains","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,6541.5
"Vegetable oils","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,2877.5
"Sugar and candy","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,3093.9
"Cocoa and chocolate","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,1306.3
"Other edible products","WORLD (Quantity)","1,000 mt","Food volume","Foods",2005,1534.4
"Beverages","WORLD (Quantity)","1,000 litpf","Food volume","Foods",2005,5472.9
"Total live animals","WORLD (Quantity)","1,000","Animals","Foods",2006,10985.5
"Bovine animals, live","WORLD (Quantity)","1,000","Animals","Foods",2006,2301.8
"Swine, live","WORLD (Quantity)","1,000","Animals","Foods",2006,8680.6
"Sheep and goats, live","WORLD (Quantity)","1,000","Animals","Foods",2006,3.1
"Live poultry","WORLD (Quantity)","1,000","Animals","Foods",2006,11871.0
"Total red meats, fresh and frozen","WORLD (Quantity)","1,000 mt","Meats","Foods",2006,1372.0
"Fresh or chilled red meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2006,596.7
"Frozen red meats and parts","WORLD (Quantity)","1,000 mt","Meats","Foods",2006,695.0
"Fowl and other meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2006,44.6
"Prepared meats","WORLD (Quantity)","1,000 mt","Meats","Foods",2006,210.8
"Total fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2006,2313.5
"Whole fish--fresh, chilled, or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2006,361.8
"Fish fillets and mince","WORLD (Quantity)","1,000 mt","Fish","Foods",2006,603.8
"Shellfish, fresh or frozen","WORLD (Quantity)","1,000 mt","Fish","Foods",2006,707.8
"Prepared fish and shellfish","WORLD (Quantity)","1,000 mt","Fish","Foods",2006,640.1
"Total vegetables and preparations","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2006,6606.3
"Fresh vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2006,4066.3
"Frozen vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2006,522.6
"Dried vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2006,352.5
"Prepared or preserved vegetables","WORLD (Quantity)","1,000 mt","Vegetables","Foods",2006,1672.7
"Total dairy products","WORLD (Quantity)","1,000 mt","Dairy","Foods",2006,367.7
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",2006,206.2
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",2006,91.1
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",2006,38.7
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",2006,31.7
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,9029.8
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,7591.7
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,4087.7
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,226.4
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,1210.5
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",2006,1.2
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2006,325.8
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",2006,258.2
